2;2;1;2010;L;18.30;80.00;1001.00;13.00;2.00;19.00;0.03;0
3;2;1;2010;F;15.50;66.00;1005.00;12.00;2.00;18.00;0.15;0
4;2;1;2010;L;10.20;85.00;1003.00;21.00;3.00;32.00;2.03;0
5;2;1;2010;L;8.10;55.00;1008.00;39.00;10.00;67.00;0.13;0
3;3;1;2010;L;18.30;66.00;1014.00;19.00;2.00;28.00;0.03;0
4;3;1;2010;L;19.20;61.00;1013.00;49.00;8.00;71.00;0.84;0
5;3;1;2010;L;18.30;49.00;1022.00;42.00;5.00;63.00;0.13;0
6;3;1;2010;F;20.70;68.00;1023.00;16.00;2.00;23.00;0.00;0
7;3;1;2010;F;21.60;69.00;1022.00;10.00;2.00;17.00;0.00;0
1;4;1;2010;L;15.80;84.00;1021.00;15.00;2.00;21.00;0.00;0
2;4;1;2010;L;16.00;85.00;1020.00;11.00;2.00;17.00;0.00;0
3;4;1;2010;L;18.60;55.00;1020.00;24.00;5.00;39.00;0.00;0
4;4;1;2010;L;17.60;63.00;1022.00;15.00;3.00;24.00;0.00;0
5;4;1;2010;L;18.90;74.00;1020.00;11.00;2.00;17.00;0.00;0
6;4;1;2010;F;15.80;82.00;1017.00;17.00;2.00;24.00;0.00;0
7;4;1;2010;F;16.30;78.00;1019.00;12.00;2.00;21.00;0.05;0
1;5;1;2010;L;13.10;81.00;1019.00;11.00;2.00;18.00;0.23;0
2;5;1;2010;L;12.50;81.00;1016.00;34.00;6.00;56.00;2.13;0
3;5;1;2010;L;10.20;77.00;1020.00;18.00;2.00;32.00;0.13;0
4;5;1;2010;L;16.20;62.00;1020.00;21.00;3.00;34.00;0.00;0
5;5;1;2010;L;17.70;50.00;1010.00;26.00;5.00;36.00;0.00;0
6;5;1;2010;F;16.70;50.00;1007.00;23.00;4.00;37.00;0.00;0
7;5;1;2010;F;16.70;53.00;1009.00;22.00;4.00;36.00;0.00;0
1;6;2;2010;L;17.00;56.00;1022.00;17.00;4.00;26.00;0.00;0
